rank,asin,title,price,rating,num_reviews,img_link
77,B085CF2Y49,"Utopia Bedding Relleno de Cojín 50 x 50 cm (2 Unidades), Fibra Virgen Siliconada, Almohadas de Sofá (Blanco)",0,4.5,1899,"https://images-eu.ssl-images-amazon.com/images/I/71DF-4U7eWL._AC_UL600_SR600,400_.jpg"
78,B0BNB99C4X,"JOPHEK LCD Despertador Digital, Inteligente Reloj Despertador Digital con Repetición de Datos de Temperatura, Reloj de Mesa de Viaje para Sala de Oficinas Familiares",0,3.8,799,"https://images-eu.ssl-images-amazon.com/images/I/51JgB8DX9IL._AC_UL600_SR600,400_.jpg"
79,B07JJX5W7R,"Cecotec Radiador Eléctrico Bajo Consumo ReadyWarm 1200 Thermal. 6 Elementos, 900 W, De pared o pie, 3 Modos, Temporizador, Mando a Distancia, Pantalla LED, Blanco",0,4.0,7700,"https://images-eu.ssl-images-amazon.com/images/I/41MgcytOSxL._AC_UL600_SR600,400_.jpg"
80,B01N9XEUH6,"Philips Tostadora - 2 Ranuras, 8 Ajustes, Rejilla Calientabollos, Descongelación, Elevación Alta, Apagado Auto, Blanco (HD2581/00)",0,4.6,2499,"https://images-eu.ssl-images-amazon.com/images/I/41LjpAsygeL._AC_UL600_SR600,400_.jpg"
81,B09G6FZWWY,"Todocama – Juego de Sábanas de 4 Piezas – Sábana Bajera Ajustable – Encimera - Dos Fundas de Almohada de 50x80cm. (Cama 150-150x190/200 cm, Gris Oscuro)",0,4.2,2599,"https://images-eu.ssl-images-amazon.com/images/I/718WdgU7DcL._AC_UL300_SR300,200_.jpg"
82,B0BQ1DYB8Z,"Cecotec Aspirador de Cenizas Compacto Conga Ash 1000 Lite. 600 W, Acabados Acero INOX, Tubo con Recubrimiento Metálico, Depósito de Acero Inoxidable de 4 litros, Filtro de Malla Metálica",0,4.5,2990,"https://images-eu.ssl-images-amazon.com/images/I/61EUcALfhNL._AC_UL300_SR300,200_.jpg"
83,B09QHZKZZ8,"Acan Tradineur - Tendedero Plegable 100% de Resina, 20 Metros de Espacio de tendido. Fabricado en España, válido para Interior y Exterior, con Bloqueo de Seguridad, 180 x 108 x 55 cm (Blanco)",0,4.4,2447,"https://images-eu.ssl-images-amazon.com/images/I/518VEdS3x4L._AC_UL300_SR300,200_.jpg"
84,B07JKLQBVB,"Cecotec Radiador Eléctrico Bajo Consumo Ready Warm 6500 Turbo Convection. 2000 W, Termostato Regulable, 4 Modos, Soporte de pie, Protección sobrecalentamiento, 20 m2",0,3.9,2990,"https://images-eu.ssl-images-amazon.com/images/I/61tuEx1oqDL._AC_UL300_SR300,200_.jpg"
85,B0BDMH95VD,"edihome, Burro Ropa, Perchero Colgador de Ropa, Doble, Vestidor, 110X150X54 cm, Resistente, Metálico, con Soporte para Zapatos, Organizador, Montaje Fácil (Blanco)",0,4.1,2899,"https://images-eu.ssl-images-amazon.com/images/I/61UmSEkf4gL._AC_UL300_SR300,200_.jpg"
86,B095V1L5QD,"Linenspa Edredón nórdico de microfibra – relleno nórdico 4 estaciones – ultra suave – Edredon Cama 135 (200 x 200 cm), Azul Marino / Gris Oscuro",0,4.3,3776,"https://images-eu.ssl-images-amazon.com/images/I/81nB7jaLD-L._AC_UL300_SR300,200_.jpg"
